Name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
TCS,3.9,(25.6k Reviews),Public,"Mumbai,Maharashtra + 201 more",53 years old,"100001+
						employees
						(India)"
Accenture,4.0,(20.2k Reviews),Public,"Dublin,Dublin + 119 more",32 years old,"100001+
						employees
						(India)"
Cognizant,3.8,(18.4k Reviews),Private,"Teaneck,New Jersey + 64 more",27 years old,"100001+
						employees
						(India)"
ICICI Bank,4.0,(18.2k Reviews),Public,Mumbai + 888 more,27 years old,"50001-100000
						employees
						(India)"
HDFC Bank,4.0,(16k Reviews),Public,"Mumbai,Maharashtra + 946 more",27 years old,"100001+
						employees
						(India)"
Wipro,3.8,(14.4k Reviews),Public,Bangalore + 212 more,76 years old,"100001+
						employees
						(India)"
Capgemini,3.7,(13.8k Reviews),Public,Paris + 57 more,54 years old,"100001+
						employees
						(India)"
HCL Technologies,3.8,(13.4k Reviews),Public,"Noida,Uttar Pradesh + 131 more",28 years old,"100001+
						employees
						(India)"
Infosys,3.9,(13.1k Reviews),Public,Bangalore + 92 more,40 years old,"100001+
						employees
						(India)"
Tech Mahindra,3.6,(12.6k Reviews),Public,"Pune,Maharashtra + 128 more",35 years old,"50001-100000
						employees
						(India)"
Genpact,4.0,(11.7k Reviews),Private,New York + 45 more,24 years old,"50001-100000
						employees
						(India)"
Axis Bank,3.8,(11.3k Reviews),Public,Mumbai + 860 more,28 years old,"50001-100000
						employees
						(India)"
Vodafone Idea,4.2,(11.3k Reviews),Public,"Gandhinagar,Gujrat + 502 more",3 years old,"10001-50000
						employees
						(India)"
L&T,4.0,(11k Reviews),Public,"Mumbai,Maharashtra + 427 more",83 years old,"10001-50000
						employees
						(India)"
Reliance jio,4.0,(10.8k Reviews),Public,"Navi Mumbai,Maharashtra + 775 more",11 years old,"10001-50000
						employees
						(India)"
IBM,4.1,(10.6k Reviews),Public,New York + 94 more,110 years old,"50001-100000
						employees
						(India)"
Concentrix Corpora...,4.1,(10.3k Reviews),Public,"Fremont,California + 50 more",38 years old,"10001-50000
						employees
						(India)"
HDB Financial Serv...,4.0,(9.3k Reviews),Private,Ahmedabad + 614 more,14 years old,"100001+
						employees
						(India)"
Amazon,4.2,(9.2k Reviews),Private,"Seattle,Washington + 265 more",17 years old,"10001-50000
						employees
						(India)"
Kotak Mahindra Ban...,3.8,(7.3k Reviews),Public,"Mumbai,Maharashtra + 406 more",18 years old,"10001-50000
						employees
						(India)"
Tata Motors,4.1,(7.1k Reviews),Public,"Pune,Maharashtra + 341 more",76 years old,"50001-100000
						employees
						(India)"
Bharti Airtel,4.1,(7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 406 more",26 years old,"5001-10000
						employees
						(India)"
Teleperformance,3.6,(6.9k Reviews),Private,Paris + 86 more,43 years old,"50001-100000
						employees
						(India)"
Reliance Industrie...,4.0,(6.5k Reviews),Public,"Navi Mumbai,Maharashtra + 312 more",48 years old,"100001+
						employees
						(India)"
Deloitte,3.9,(5.3k Reviews),Private,"New York,New York + 84 more",176 years old,"10001-50000
						employees
						(India)"
Mahindra & Mahindr...,4.2,(5.1k Reviews),Public,"Mumbai,Maharashtra + 337 more",14 years old,"10001-50000
						employees
						(India)"
IndusInd Bank,3.7,(5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 454 more",27 years old,"10001-50000
						employees
						(Global)"
Hinduja Global Sol...,3.9,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 63 more",21 years old,"10001-50000
						employees
						(India)"
Samsung,4.2,(4.6k Reviews),Private,Seoul + 373 more,83 years old,"50001-100000
						employees
						(India)"
WNS,3.7,(4.5k Reviews),Private,"Mumbai,Maharashtra + 18 more",25 years old,"10001-50000
						employees
						(Global)"
Indian Army,4.7,(4.4k Reviews),"New Delhi,Delhi + 246 more",126 years old,"100001+
						employees
						(Global)",
Maruti Suzuki,4.1,(4.4k Reviews),Public,"New Delhi,Delhi + 324 more",38 years old,"10001-50000
						employees
						(India)"
Reliance Retail,4.1,(4.4k Reviews),Private,"Navi Mumbai,Maharashtra + 327 more",15 years old,"100001+
						employees
						(India)"
DXC Technology,3.5,(4.3k Reviews),Public,Virginia + 45 more,4 years old,"100001+
						employees
						(Global)"
Infosys BPM,4.0,(3.9k Reviews),"Bangalore/Bengaluru,Karnataka + 32 more",19 years old,"10001-50000
						employees
						(India)",
Ericsson,4.2,(3.9k Reviews),Private,Stockholm + 119 more,145 years old,"10001-50000
						employees
						(India)"
Bajaj Finserv,4.0,(3.7k Reviews),Public,Pune + 520 more,14 years old,"10001-50000
						employees
						(India)"
HSBC,4.1,(3.7k Reviews),Private,"Pune,Maharashtra + 46 more",156 years old,"10001-50000
						employees
						(India)"
Startek,3.6,(3.7k Reviews),"Mumbai,Maharashtra + 43 more",34 years old,"1001-5000
						employees
						(India)",
Dr. Reddy's,4.2,(3.6k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 116 more",37 years old,"10001-50000
						employees
						(India)"
Jana Small Finance...,3.9,(3.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 271 more",15 years old,"10001-50000
						employees
						(Global)"
Ernst & Young,3.7,(3.6k Reviews),Private,London + 52 more,32 years old,"50001-100000
						employees
						(India)"
Conneqt Business S...,3.8,(3.6k Reviews),"Mumbai,Maharashtra + 126 more",17 years old,"10001-50000
						employees
						(India)",
Cipla Pharmaceutic...,4.0,(3.6k Reviews),Public,"Mumbai,Maharashtra + 170 more",86 years old,"10001-50000
						employees
						(India)"
ICICI Prudential L...,4.1,(3.5k Reviews),Public,"Mumbai,Maharashtra + 358 more",20 years old,"10001-50000
						employees
						(India)"
Sutherland Global ...,3.8,(3.5k Reviews),Private,"Pittsford,New York + 28 more",35 years old,"10001-50000
						employees
						(India)"
Mphasis,3.7,(3.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 34 more",21 years old,"10001-50000
						employees
						(Global)"
Bajaj Allianz Life...,4.1,(3.3k Reviews),Private,Pune + 369 more,20 years old,"10001-50000
						employees
						(India)"
Home Credit Financ...,4.2,(3.2k Reviews),Private,Gurugram + 93 more,9 years old,"10001-50000
						employees
						(India)"
Lupin,4.1,(3.2k Reviews),Public,Mumbai + 116 more,53 years old,"10001-50000
						employees
						(India)"
Intelenet Global S...,3.7,(3.2k Reviews),Private,"Mumbai,Maharashtra + 55 more",21 years old,"10001-50000
						employees
						(India)"
IDFC FIRST Bank,3.8,(3.2k Reviews),Public,"Mumbai,Maharashtra + 256 more",6 years old,"10001-50000
						employees
						(India)"
Yes Bank,3.9,(3.2k Reviews),Public,Mumbai + 288 more,17 years old,"10001-50000
						employees
						(India)"
Asian Paints,4.3,(3.1k Reviews),Public,"Mumbai,Maharashtra + 259 more",79 years old,"5001-10000
						employees
						(India)"
HDFC LIFE,4.0,(3.1k Reviews),"Mumbai,Maharashtra + 345 more",21 years old,"10001-50000
						employees
						(India)",
Hewlett-Packard En...,4.3,(3k Reviews),Private,"Palo Alto,California + 75 more",82 years old,"10001-50000
						employees
						(India)"
Reliance Communica...,4.0,(2.9k Reviews),Public,"Navi Mumbai,Maharashtra + 339 more",19 years old,"1001-5000
						employees
						(Global)"
Zydus Cadila,4.1,(2.9k Reviews),Public,"Ahmedabad, India + 120 more",69 years old,"10001-50000
						employees
						(India)"
OPPO,4.0,(2.8k Reviews),Public,"Dongguan,Guangdong + 276 more",17 years old,"10001-50000
						employees
						(India)"
NTT DATA,3.8,(2.8k Reviews),Private,"Chiyoda City,Tokyo + 29 more",33 years old,"10001-50000
						employees
						(India)"
Future Group,4.2,(2.8k Reviews),Private,"Mumbai,Maharashtra + 180 more",8 years old,"50001-100000
						employees
						(India)"
Bajaj Finance,4.2,(2.8k Reviews),Private,"Pune,Maharashtra + 505 more",34 years old,"1001-5000
						employees
						(India)"
Hindustan Unilever...,4.3,(2.7k Reviews),Public,London + 279 more,92 years old,"10001-50000
						employees
						(India)"
ITC,4.0,(2.7k Reviews),Public,"Kolkata,West Bengal + 177 more",46 years old,"10001-50000
						employees
						(India)"
Shriram Transport ...,4.1,(2.7k Reviews),Public,"Mumbai,Maharashtra + 531 more",42 years old,"10001-50000
						employees
						(India)"
EXL Service,3.8,(2.7k Reviews),Private,"New York,New York + 25 more",22 years old,"10001-50000
						employees
						(India)"
Ujjivan Small Fina...,4.1,(2.7k Reviews),Public,Bengaluru + 313 more,4 years old,"10001-50000
						employees
						(India)"
Mahindra & Mahindr...,4.3,(2.7k Reviews),Public,"Mumbai,Maharashtra + 471 more",30 years old,"10001-50000
						employees
						(India)"
Shapoorji Pallonji,4.2,(2.7k Reviews),Private,"Mumbai,Maharashtra + 119 more",156 years old,"1001-5000
						employees
						(India)"
Ashok Leyland,4.2,(2.7k Reviews),Public,"Chennai,Tamil Nadu + 160 more",73 years old,"10001-50000
						employees
						(India)"
Apollo Hospitals,4.1,(2.7k Reviews),Public,"Chennai,Tamil Nadu + 139 more",38 years old,"50001-100000
						employees
						(Global)"
Sun Pharmaceutical...,4.0,(2.6k Reviews),Public,Mumbai + 122 more,38 years old,"10001-50000
						employees
						(India)"
UltraTech Cement,4.2,(2.6k Reviews),Public,"Mumbai,Maharashtra + 264 more",38 years old,"10001-50000
						employees
						(India)"
Paytm,3.7,(2.6k Reviews),Private,"Noida,Uttar Pradesh + 194 more",11 years old,"1001-5000
						employees
						(Global)"
Udaan,4.2,(2.6k Reviews),Private,Bengaluru + 250 more,5 years old,"5001-10000
						employees
						(India)"
IIFL,3.8,(2.6k Reviews),Public,"Mumbai,Maharashtra + 356 more",26 years old,"5001-10000
						employees
						(India)"
Nokia,4.3,(2.5k Reviews),Private,Espoo + 157 more,156 years old,"10001-50000
						employees
						(India)"
Wipro BPS,3.8,(2.5k Reviews),Bengaluru + 29 more,21 years old,"10001-50000
						employees
						(Global)",
Vivo,4.1,(2.5k Reviews),Private,"Gurgaon/Gurugram,Haryana + 273 more",12 years old,"5001-10000
						employees
						(India)"
Aurobindo Pharma,4.1,(2.5k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 35 more",35 years old,"1001-5000
						employees
						(India)"
Oyo Rooms,3.5,(2.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 95 more",8 years old,"1001-5000
						employees
						(India)"
Larsen & Toubro In...,3.8,(2.4k Reviews),Public,Mumbai + 68 more,25 years old,"10001-50000
						employees
						(India)"
Siemens,4.2,(2.3k Reviews),Public,Munich + 84 more,174 years old,"1001-5000
						employees
						(India)"
TVS Motor,4.1,(2.3k Reviews),Public,"Chennai,Tamil Nadu + 203 more",42 years old,"5001-10000
						employees
						(India)"
PwC,3.6,(2.3k Reviews),Partnership,London + 50 more,23 years old,"5001-10000
						employees
						(India)"
eClerx,3.6,(2.3k Reviews),Public,"Mumbai,Maharashtra + 14 more",21 years old,"100001+
						employees
						(Global)"
JP Morgan Chase,4.1,(2.2k Reviews),Private,"New York,New York + 15 more",99 years old,"10001-50000
						employees
						(India)"
Max Life Insurance,4.2,(2.2k Reviews),"Gurgaon/Gurugram,Haryana + 227 more",21 years old,"10001-50000
						employees
						(India)",
Wipro Consumer Ca...,3.8,(2.2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 59 more",76 years old,"5001-10000
						employees
						(Global)"
Axis Direct,4.0,(2.2k Reviews),Private,"Mumbai,Maharashtra + 256 more",16 years old,"1001-5000
						employees
						(India)"
Hero MotoCorp,4.2,(2.2k Reviews),Public,New Delhi + 218 more,37 years old,"5001-10000
						employees
						(India)"
Cyient,3.6,(2.2k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 24 more",30 years old,"10001-50000
						employees
						(Global)"
Atos Syntel,3.7,(2.2k Reviews),Private,"Troy,Michigan + 14 more",41 years old,"10001-50000
						employees
						(India)"
KPMG,3.7,(2.2k Reviews),"Amstelveen,North Holland + 42 more",34 years old,"10001-50000
						employees
						(India)",
Hyundai Motor,4.3,(2.1k Reviews),Private,Seoul + 188 more,54 years old,"5001-10000
						employees
						(India)"
JustDial,3.7,(2.1k Reviews),Public,"Mumbai,Maharashtra + 105 more",25 years old,"10001-50000
						employees
						(India)"
Bandhan Bank,3.9,(2.1k Reviews),Public,"Kolkata,West Bengal + 378 more",20 years old,"10001-50000
						employees
						(Global)"
Bosch,4.2,(2.1k Reviews),Public,Sttugart + 72 more,135 years old,"10001-50000
						employees
						(India)"
Oracle,3.7,(2.1k Reviews),Public,"Redwood City,California + 24 more",44 years old,"10001-50000
						employees
						(India)"
JLL,4.2,(2.1k Reviews),Private,"Mumbai,Maharashtra + 51 more",24 years old,"10001-50000
						employees
						(India)"
Dominos Pizza,4.2,(2.1k Reviews),Public,"Ypsilanti,Michigan + 175 more",61 years old,"1001-5000
						employees
						(India)"
Tata Projects,4.2,(2.1k Reviews),Public,"Mumbai,Maharashtra + 159 more",42 years old,"1001-5000
						employees
						(Global)"
Aditya Birla Fashi...,4.3,(2k Reviews),Private,Mumbai + 166 more,6 years old,"10001-50000
						employees
						(India)"
Fidelity National ...,4.0,(2k Reviews),Private,"Jacksonville,Florida + 26 more",24 years old,"10001-50000
						employees
						(India)"
Godrej & Boyce Man...,4.0,(2k Reviews),Private,"Mumbai,Maharashtra + 108 more",124 years old,"10001-50000
						employees
						(Global)"
Mindtree,4.0,(2k Reviews),Public,Bangalore + 19 more,22 years old,"10001-50000
						employees
						(India)"
Viatris,4.2,(2k Reviews),"Canonsburg,Pennsylvania + 53 more",1 years old,"1001-5000
						employees
						(India)",
First Source,3.9,(2k Reviews),Public,"Mumbai,Maharashtra + 39 more",20 years old,"10001-50000
						employees
						(Global)"
UnitedHealth,4.2,(2k Reviews),Private,"Minnetonka,Minnesota + 11 more",19 years old,"10001-50000
						employees
						(India)"
JSW Steel,3.9,(2k Reviews),Public,"Mumbai,Maharashtra + 74 more",39 years old,"10001-50000
						employees
						(India)"
AU Small Finance B...,3.9,(1.9k Reviews),Private,"Jaipur,Rajasthan + 222 more",25 years old,"10001-50000
						employees
						(India)"
Dell,4.1,(1.9k Reviews),Private,"Round Rock,Texas + 66 more",37 years old,"50001-100000
						employees
						(India)"
iEnergizer,3.4,(1.9k Reviews),Private,"Noida,Uttar Pradesh + 13 more",21 years old,"10001-50000
						employees
						(Global)"
Fullerton India,4.2,(1.9k Reviews),Private,Mumbai + 328 more,14 years old,"10001-50000
						employees
						(India)"
TATA Steel,4.1,(1.9k Reviews),Public,"Mumbai,Maharashtra + 95 more",114 years old,"10001-50000
						employees
						(India)"
Manappuram Finance,4.0,(1.9k Reviews),Public,"Thrissur/Trichur,Kerala + 298 more",72 years old,"10001-50000
						employees
						(Global)"
BYJU'S,2.8,(1.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 87 more",10 years old,"5001-10000
						employees
						(Global)"
Omega Healthcare,3.8,(1.9k Reviews),Private,Florida + 19 more,17 years old,"1001-5000
						employees
						(India)"
Muthoot Group,3.8,(1.8k Reviews),Public,"Kochi/Cochin,Kerala + 296 more",134 years old,"1001-5000
						employees
						(India)"
Delhivery,4.2,(1.8k Reviews),Private,"Gurgaon,Haryana + 323 more",10 years old,"10001-50000
						employees
						(India)"
Hexaware Technolog...,3.5,(1.8k Reviews),Public,"Mumbai,Maharashtra + 22 more",31 years old,"10001-50000
						employees
						(India)"
Simplex Infrastruc...,3.8,(1.8k Reviews),Public,"Kolkata,West Bengal + 109 more",97 years old,"1001-5000
						employees
						(India)"
Motherson Sumi Sys...,3.9,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 53 more",35 years old,"1001-5000
						employees
						(India)"
Honda,4.2,(1.8k Reviews),Private,"Greater Noida,Uttar Pradesh + 162 more",73 years old,"5001-10000
						employees
						(India)"
Megha Engineering ...,4.3,(1.8k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 138 more",32 years old,"5001-10000
						employees
						(India)"
Royal Enfield,4.2,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 185 more",66 years old,"1001-5000
						employees
						(India)"
Wipro Enterprises ...,3.8,(1.8k Reviews),Bangalore + 56 more,76 years old,"100001+
						employees
						(Global)",
Nagarjuna Construc...,4.1,(1.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 144 more",43 years old,"5001-10000
						employees
						(Global)"
Wells Fargo India,4.1,(1.8k Reviews),Private,"San Francisco,California + 10 more",23 years old,"10001-50000
						employees
						(India)"
SBI Cards & Paymen...,3.9,(1.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 190 more",23 years old,"1001-5000
						employees
						(India)"
State Bank of Indi...,4.0,(1.8k Reviews),"Mumbai,Maharashtra + 257 more",215 years old,"100001+
						employees
						(India)",
BNY Mellon,4.0,(1.8k Reviews),Private,"New York City,New York + 6 more",21 years old,"10001-50000
						employees
						(India)"
JBM Group,4.0,(1.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 66 more",38 years old,"10001-50000
						employees
						(Global)"
Arvind Group,4.1,(1.7k Reviews),Public,"Ahmedabad,Gujrat + 124 more",90 years old,"10001-50000
						employees
						(India)"
